fecha,clausura
15/05/2021 00:00,46708.89
14/05/2021 00:00,49880.43
13/05/2021 00:00,49694.96
12/05/2021 00:00,49386.56
11/05/2021 00:00,56763.7
10/05/2021 00:00,55880.72
09/05/2021 00:00,58305.24
08/05/2021 00:00,58984.75
07/05/2021 00:00,57381.73
06/05/2021 00:00,56447.39
05/05/2021 00:00,57509.93
04/05/2021 00:00,53236.84
03/05/2021 00:00,57222.37
02/05/2021 00:00,56622.66
01/05/2021 00:00,57851.91
30/04/2021 00:00,57775.27
29/04/2021 00:00,53593.97
28/04/2021 00:00,54901.97
27/04/2021 00:00,55091.39
26/04/2021 00:00,54073.41
25/04/2021 00:00,49128.43
24/04/2021 00:00,50118.94
23/04/2021 00:00,51176.65
22/04/2021 00:00,51683.95
21/04/2021 00:00,53806.24
20/04/2021 00:00,56503.19
19/04/2021 00:00,55694.55
18/04/2021 00:00,56280.6
17/04/2021 00:00,60032.29
16/04/2021 00:00,61436.24
15/04/2021 00:00,63239.19
14/04/2021 00:00,62986.09
13/04/2021 00:00,63564.48
12/04/2021 00:00,59831.66
11/04/2021 00:00,59979.26
10/04/2021 00:00,59766.93
09/04/2021 00:00,58109.56
08/04/2021 00:00,58096.6
07/04/2021 00:00,55932.83
06/04/2021 00:00,58018.3
05/04/2021 00:00,59125
04/04/2021 00:00,58212.18
03/04/2021 00:00,57064.42
02/04/2021 00:00,59003.6
01/04/2021 00:00,58728.53
31/03/2021 00:00,58782.58
30/03/2021 00:00,58760.59
29/03/2021 00:00,57600.1
28/03/2021 00:00,55790.92
27/03/2021 00:00,55839.42
26/03/2021 00:00,55081.37
25/03/2021 00:00,51326.11
24/03/2021 00:00,52287.52
23/03/2021 00:00,54361.57
22/03/2021 00:00,54070.92
21/03/2021 00:00,57381.79
20/03/2021 00:00,58138.39
19/03/2021 00:00,58072
18/03/2021 00:00,57648.05
17/03/2021 00:00,58901.8
16/03/2021 00:00,56908.34
15/03/2021 00:00,55644.37
14/03/2021 00:00,59016.39
13/03/2021 00:00,61165.19
12/03/2021 00:00,57271.04
11/03/2021 00:00,57772.09
10/03/2021 00:00,55852.29
09/03/2021 00:00,54929.02
08/03/2021 00:00,52427.8
07/03/2021 00:00,50967.3
06/03/2021 00:00,48904.63
05/03/2021 00:00,48739.21
04/03/2021 00:00,48360.5
03/03/2021 00:00,50379.68
02/03/2021 00:00,48516.35
01/03/2021 00:00,49629.33
28/02/2021 00:00,45240.96
27/02/2021 00:00,46109.98
26/02/2021 00:00,46314.83
25/02/2021 00:00,47088.58
24/02/2021 00:00,49754
23/02/2021 00:00,48887.93
22/02/2021 00:00,54173.65
21/02/2021 00:00,57492.91
20/02/2021 00:00,55936.04
19/02/2021 00:00,55988.58
18/02/2021 00:00,51579.54
17/02/2021 00:00,52174.28
16/02/2021 00:00,49166.53
15/02/2021 00:00,47942.57
14/02/2021 00:00,48662.5
13/02/2021 00:00,47228.48
12/02/2021 00:00,47395.84
11/02/2021 00:00,47981.48
10/02/2021 00:00,44854.63
09/02/2021 00:00,46505.2
08/02/2021 00:00,46416.45
07/02/2021 00:00,38858.39
06/02/2021 00:00,39282.1
05/02/2021 00:00,38320
04/02/2021 00:00,36996.32
03/02/2021 00:00,37691.63
02/02/2021 00:00,35522.16
01/02/2021 00:00,33532.74
31/01/2021 00:00,33141.38
30/01/2021 00:00,34323
29/01/2021 00:00,34249.64
28/01/2021 00:00,33484.87
27/01/2021 00:00,30424.62
26/01/2021 00:00,32504.53
25/01/2021 00:00,32261.22
24/01/2021 00:00,32288.83
23/01/2021 00:00,32117.49
22/01/2021 00:00,32992.06
21/01/2021 00:00,30818.18
20/01/2021 00:00,35496.91
19/01/2021 00:00,35917.62
18/01/2021 00:00,36616.95
17/01/2021 00:00,35819.25
16/01/2021 00:00,36000
15/01/2021 00:00,36756.57
14/01/2021 00:00,39134.35
13/01/2021 00:00,37393.49
12/01/2021 00:00,34035.02
11/01/2021 00:00,35455.58
10/01/2021 00:00,38173.73
09/01/2021 00:00,40239.06
08/01/2021 00:00,40667.07
07/01/2021 00:00,39510.49
06/01/2021 00:00,36849.94
05/01/2021 00:00,34039.05
04/01/2021 00:00,32005.88
03/01/2021 00:00,33097.83
02/01/2021 00:00,32216.53
01/01/2021 00:00,29402.64
31/12/2020 00:00,28992.79
30/12/2020 00:00,28881.3
29/12/2020 00:00,27370
28/12/2020 00:00,27037.91
27/12/2020 00:00,26259.6
26/12/2020 00:00,26466.28
25/12/2020 00:00,24705.15
24/12/2020 00:00,23726.28
23/12/2020 00:00,23247.71
22/12/2020 00:00,23835.1
21/12/2020 00:00,22732.01
20/12/2020 00:00,23470.85
19/12/2020 00:00,23842.99
18/12/2020 00:00,23136.14
17/12/2020 00:00,22814.24
16/12/2020 00:00,21365.7
15/12/2020 00:00,19434.87
14/12/2020 00:00,19274.33
13/12/2020 00:00,19162.36
12/12/2020 00:00,18815.63
11/12/2020 00:00,18040.02
10/12/2020 00:00,18250.3
09/12/2020 00:00,18556.64
08/12/2020 00:00,18316.43
07/12/2020 00:00,19173.5
06/12/2020 00:00,19380.58
05/12/2020 00:00,19162.16
04/12/2020 00:00,18673.76
03/12/2020 00:00,19448.4
02/12/2020 00:00,19226.55
01/12/2020 00:00,18771.43
30/11/2020 00:00,19700.19
29/11/2020 00:00,18192.03
28/11/2020 00:00,17741.79
27/11/2020 00:00,17154.39
26/11/2020 00:00,17160.09
25/11/2020 00:00,18732.43
24/11/2020 00:00,19160.85
23/11/2020 00:00,18383.35
22/11/2020 00:00,18435.2
21/11/2020 00:00,18725
20/11/2020 00:00,18687.65
19/11/2020 00:00,17825.47
18/11/2020 00:00,17785.95
17/11/2020 00:00,17680.63
16/11/2020 00:00,16724.62
15/11/2020 00:00,15975.49
14/11/2020 00:00,16086.34
13/11/2020 00:00,16335.58
12/11/2020 00:00,16300
11/11/2020 00:00,15707.89
10/11/2020 00:00,15313.65
09/11/2020 00:00,15332.04
08/11/2020 00:00,15489.15
07/11/2020 00:00,14838.97
06/11/2020 00:00,15598.09
05/11/2020 00:00,15605.04
04/11/2020 00:00,14160.59
03/11/2020 00:00,14041.58
02/11/2020 00:00,13563.72
01/11/2020 00:00,13762
